costoTotalItems,estado,lat,lon
70882,"BAJA CALIFORNIA SUR","24.132154","-110.339088"
164996,"NUEVO LEON","25.693010","-100.339263"
45916,"NUEVO LEON","25.641508","-100.183006"
21658,SONORA,"27.513277","-109.931076"
117203,"CIUDAD DE MEXICO","19.354297","-98.9978485"
4999,TAMAULIPAS,"30.989765","-110.289176"
965336,"CIUDAD DE MEXICO","19.490030","-99.1331787"
624720,"ESTADO DE MEXICO","19.292188","-98.9403457"
"96275.20999999999","CIUDAD DE MEXICO","19.300371","-99.1719131"
24001,SINALOA,"23.263189","-106.382133"
"185891.3","CIUDAD DE MEXICO","19.330821","-99.0046081"
"30135.03",TABASCO,"17.469293","-91.4211273"
10597,VERACRUZ,"19.545919","-96.8927459"
"1001733.05","CIUDAD DE MEXICO","19.388044","-99.1857528"
61406,"ESTADO DE MEXICO","24.632616","-102.777580"
78756,"CIUDAD DE MEXICO","19.468629","-99.0923614"
49631,CHIAPAS,"16.75407","-93.13326"
348001,VERACRUZ,"19.092761","-96.1566772"
9589,OAXACA,"16.131181","-97.6087112"
23268,OAXACA,"15.834007","-96.3199462"
6974,DURANGO,"24.061513","-104.602081"
94297,"NUEVO LEON","25.761663","-100.255630"
16862,JALISCO,"20.433731","-103.342880"
"89348.46",SONORA,"29.143030","-111.028526"
83972,"ESTADO DE MEXICO","19.271671","-99.4596252"
"96520.2",ZACATECAS,"22.774286","-102.48452"
19615,"BAJA CALIFORNIA SUR","24.130905","-110.320083"
1654,"NUEVO LEON","26.504831","-100.172073"
44916,GUANAJUATO,"21.129564","-101.658035"
11138,TLAXCALA,"19.429782","-98.1584396"
43584,"NUEVO LEON","25.677558","-100.259696"
2414,"CIUDAD DE MEXICO","19.306715","-99.0413894"
17886,"CIUDAD DE MEXICO","19.267948","-98.9949340"
28907,"NUEVO LEON","25.754480","-100.307518"
79078,QUERETARO,"20.64633","-100.3444"
16043,"NUEVO LEON","25.669454","-100.215286"
94458,TABASCO,"18.261156","-93.2216873"
52973,JALISCO,"18.442594","-66.0589904"
78738,CHIAPAS,"17.516132","-93.1193237"
112595,SONORA,"29.012058","-110.926261"
"75035.72",QUERETARO,"19.462453","-99.2432251"
130424,"CIUDAD DE MEXICO","19.4885","-99.12685"
15989,JALISCO,"21.375032","-101.917488"
"42121.09","ESTADO DE MEXICO","19.518768","-99.0566558"
"75035.72",QUERETARO,"19.462453","-99.2432251"
28256,"ESTADO DE MEXICO","19.689022","-98.8328170"
66641,HIDALGO,"20.410945","-99.6618728"
32873,"CIUDAD DE MEXICO","19.410263","-99.1926498"
145236,CHIHUAHUA,"28.731201","-106.128143"
7379,"BAJA CALIFORNIA","32.57188","-116.6258"
60381,MICHOACAN,"19.704038","-101.245224"
38418,"CIUDAD DE MEXICO","19.353813","-99.1636047"
940976,"NUEVO LEON","25.641313","-100.210548"
38418,"CIUDAD DE MEXICO","19.353813","-99.1636047"
"399289.14","ESTADO DE MEXICO","19.385133","-99.0087509"
